"Mice","weight_g","length_cm","ab_fat","other_fat","total_fat","X100xfat_weight","Trigly","Total_Chol","HDL_Chol","UC","FFA","Glucose","LDL_plus_VLDL","MCP_1_phys","Insulin_ug_l","Glucose_Insulin","Leptin_pg_ml","Adiponectin","Aortic.lesions","Aneurysm","Aortic_cal_M","Aortic_cal_L","CoronaryArtery_Cal","Myocardial_cal","BMD_all_limbs","BMD_femurs_only"
"F2_124",52.1,10.1,3.14,3.07,6.21,11.9193857965451,100,1403,46,512,119,450,1357,151.322,972,0.462962962962963,127313.14,9.82,303750,102,7,0,0,0,0.0589,0.08085
"F2_230",45.3,10.5,1.75,2.07,3.82,8.43267108167771,114,1284,84,438,105,426,1200,85.832,2934,0.14519427402863,75809.5,2.872,80000,25,7,0,0,5,0.0632,0.08955
"F2_176",49.1,10.4,1.61,3.61,5.22,10.6313645621181,87,1276,47,525,146,521,1229,199.896,7495,0.0695130086724483,109383.44,6.324,260250,25,10,0,0,0,0.0565,0.0758
"F2_178",55.7,10.6,1.35,2.79,4.14,7.4326750448833,107,860,95,254,60,397,765,116.748,5614,0.0707160669754186,63083.62,3.668,237750,9,0,10,0,1,0.0593,0.0802
"F2_179",48.6,10.3,1.33,2.28,3.61,7.42798353909465,103,817,78,259,62,348,739,172.376,6120,0.0568627450980392,67388.16,4.39,124000,0,0,0,0,2,0.0567,0.0783
"F2_353",50.8,10.9,1.08,2.53,3.61,7.10629921259843,72,1542,37,505,90,444,1505,243.04,9621,0.04614904895541,119242.6,NA,157750,24,5,0,NA,NA,NA,NA
"F2_207",56.9,11,0.98,3.17,4.15,7.29349736379613,169,1696,47,569,115,506,1649,117.722,14028,0.0360707157114343,108322.28,2.927,78750,26,1,0,0,15,0.0593,0.0824
"F2_208",51.7,10.5,1.86,3.15,5.01,9.69052224371373,176,861,112,249,66,296,749,200.458,3581,0.0826584752862329,140285.06,5.631,103750,43,0,2,0,0,0.0546,0.07675
"F2_209",42.9,10.4,2.26,2.54,4.8,11.1888111888112,129,1424,48,522,135,456,1376,60.614,1966,0.231943031536114,106657.66,6.615,257500,74,14,0,0,0,0.0567,0.0786
"F2_210",38.5,10.5,1.05,1.57,2.62,6.80519480519481,585,1151,20,403,104,368,1131,57.12,2494,0.147554129911788,13607.3,4.516,15313,0,0,0,0,0,0.0494,0.06785
